label,statement,target,clean_text
false,Says the Annies List political group supports third-trimester abortions on demand.,false,says annies list political group supports thirdtrimester abortions demand
half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,half-true,decline coal start started natural gas took started begin president george w bushs administration
mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",mostly-true,hillary clinton agrees john mccain voting give george bush benefit doubt iran
false,Health care reform legislation is likely to mandate free sex change surgeries.,false,health care reform legislation likely mandate free sex change surgeries
half-true,The economic turnaround started at the end of my term.,half-true,economic turnaround started end term
true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,true,chicago bears starting quarterbacks last years total number tenured uw faculty fired last two decades
barely-true,Jim Dunnam has not lived in the district he represents for years now.,barely-true,jim dunnam lived district represents years
half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",half-true,im person stage worked actively last year passing along russ feingold toughest ethics reform since watergate
half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",half-true,however took million oregon lottery funds port newport eventually land new noaa marine operations centerpacific
mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,mostly-true,says gop primary opponents glenn grothman joe leibham cast compromise vote cost million higher electricity costs
mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",mostly-true,first time history share national popular vote margin smaller latino vote margin
half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",half-true,since nearly million americans slipped middle class poverty
false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",false,mitt romney governor massachusetts didnt slow rate growth government actually cut
mostly-true,The economy bled $24 billion due to the government shutdown.,mostly-true,economy bled billion due government shutdown
barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,barely-true,affordable care act already sense waived otherwise suspended
half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",half-true,last election november percent american people chose vote percent young people percent lowincome workers chose vote
true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,true,mccain opposed requirement government buy americanmade motorcycles said buyamerican provisions quote disgraceful
barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",barely-true,us rep ron kind dwis fellow democrats went spending spree credit card maxed
half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",half-true,water rates manila philippines raised percent subsidiary world bank became partial owner
mostly-true,"Almost 100,000 people left Puerto Rico last year.",mostly-true,almost people left puerto rico last year
false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,false,women men making less adjust inflation john kitzhaber first elected governor
mostly-true,The United States has the highest corporate tax rate in the free world.,mostly-true,united states highest corporate tax rate free world
mostly-true,We just had the best year for the auto industry in America in history.,mostly-true,best year auto industry america history
half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",half-true,says scott walker favors cutting families children health care
barely-true,Says Mitt Romney wants to get rid of Planned Parenthood.,barely-true,says mitt romney wants get rid planned parenthood
false,I dont know who (Jonathan Gruber) is.,false,dont know jonathan gruber
mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,mostly-true,hate crimes american muslims mosques tripled paris san bernardino
half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,half-true,rick perry never lost election remains person texas governorship three times landslide elections
false,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",false,isis supporter tweeted shooting began chattanooga tenn
mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.,mostly-true,youth unemployment minority communities percent
true,Says Paul Ryan is still endorsing Trump.,true,says paul ryan still endorsing trump
barely-true,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",barely-true,look states right work constantly budget deficits good business climates
false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,false,obama administration going come next several months youre even going able burn coal limitedly existing plants
mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,mostly-true,cut business taxes today percent businesses dont pay business tax
mostly-true,Says Mark Pryor votes with Obama 93 percent of the time.,mostly-true,says mark pryor votes obama percent time
true,We have a federal government that thinks they have the authority to regulate our toilet seats.,true,federal government thinks authority regulate toilet seats
true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,true,austin city basically doubled size every years since founded
true,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",true,nuclear test conducted nation time earths th nuclear test five permanent members un security council conducted percent total nuclear tests
pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",pants-fire,case catastrophic event atlantaarea offices centers disease control prevention selfdestruct
true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",true,president george w bush added trillion debt president obama weve added trillion debt
false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,false,says us supreme court justice suggested us cases decided based south african law
half-true,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,half-true,says marco rubio skipped defense votes including one arm kurds fight isis
pants-fire,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",pants-fire,rep david cicilline responsible federal loan guarantee solyndra failed solar company
pants-fire,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,pants-fire,says ohio budget item later signed law gov john kasich requires women seeking abortion undergo mandatory vaginal probe
false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,false,director homeland security cannot use use term terrorist attack instead substitutes manmade disaster
half-true,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,half-true,africanamerican youth unemployment percent hispanic youth unemployment percent
pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",pants-fire,obamacare provide insurance nonus residents even illegally
false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,false,president barack obama took exactly none deficit reduction commissions ideas one
pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,pants-fire,barack obama hillary clinton changed rules engagement probably cost capt humayun khans life
true,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,true,hillary clinton cosponsored legislation would jail flag burners
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,barely-true,says paperback edition mitt romneys book deleted line massachusetts individual mandate model country
barely-true,"Maggie Hassan raised tuition, making it the highest in America.",barely-true,maggie hassan raised tuition making highest america
false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,false,says terry mcauliffe person invented scheme rent lincoln bedroom
true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",true,created new jobs cut unemployment rate almost half today new york state private sector jobs ever history
barely-true,"We have towns in West Texas that are out of water, that are having to truck in water.",barely-true,towns west texas water truck water
half-true,"In Georgia, women earn 82 cents for every dollar earned by men.",half-true,georgia women earn cents every dollar earned men
half-true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,half-true,federal system verifies employees authorized work us inaccurate anywhere percent way excess percent time
barely-true,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",barely-true,going build wall ago long ago like couldnt get environmental impact statements
false,Sen. Obama's campaign announced that he's choosing his cabinet.,false,sen obamas campaign announced hes choosing cabinet
mostly-true,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",mostly-true,percent latinos texas registered vote percent actually turned
false,Only 2 percent of public high schools in the country offer PE classes.,false,percent public high schools country offer pe classes
mostly-true,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",mostly-true,said hes republican candidate whos actually turned around government economy
true,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",true,military recruiters harvard elena kagan took position supreme court ruled unanimously wrong
mostly-true,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",mostly-true,public school teachers texas nonteachers public schools
false,"Under Mayor Cicilline, [Providence] was a sanctuary city.",false,mayor cicilline providence sanctuary city
pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,pants-fire,transgender individuals us chance murdered
true,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",true,bain capital helped start early childhood learning company called bright horizons first lady michelle obama rightly praised
